Java HotSpot(TM) 64-Bit Server VM (25.181-b13) for bsd-amd64 JRE (1.8.0_181-b13), built on Jul  7 2018 01:02:31 by "java_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 33554432k(3081664k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=209715200 -XX:MaxHeapSize=209715200 -XX:MaxNewSize=104857600 -XX:MaxTenuringThreshold=15 -XX:NewSize=104857600 -XX:OldPLABSize=16 -XX:PretenureSizeThreshold=31457280 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:SurvivorRatio=2 -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:+UseParNewGC 
0.162: [GC (Allocation Failure) 0.162: [ParNew: 45075K->572K(76800K), 0.0012123 secs] 45075K->572K(179200K), 0.0013295 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1.173: [GC (Allocation Failure) 1.173: [ParNew: 43545K->639K(76800K), 0.0005375 secs] 43545K->639K(179200K), 0.0006081 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.177: [GC (Allocation Failure) 1.178: [ParNew: 43528K->642K(76800K), 0.0004913 secs] 43528K->642K(179200K), 0.0005554 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2.186: [GC (Allocation Failure) 2.186: [ParNew: 44069K->1047K(76800K), 0.0012020 secs] 44069K->1047K(179200K), 0.0013306 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
2.192: [GC (Allocation Failure) 2.192: [ParNew: 42949K->1087K(76800K), 0.0007589 secs] 42949K->1087K(179200K), 0.0008212 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
3.202: [GC (Allocation Failure) 3.202: [ParNew: 43010K->1098K(76800K), 0.0013496 secs] 43010K->1098K(179200K), 0.0014908 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
3.208: [GC (Allocation Failure) 3.208: [ParNew: 43035K->1127K(76800K), 0.0008486 secs] 43035K->1127K(179200K), 0.0009214 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.218: [GC (Allocation Failure) 4.218: [ParNew: 43071K->1093K(76800K), 0.0011090 secs] 43071K->1093K(179200K), 0.0012158 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
4.224: [GC (Allocation Failure) 4.224: [ParNew: 43043K->1095K(76800K), 0.0006639 secs] 43043K->1095K(179200K), 0.0007192 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
5.232: [GC (Allocation Failure) 5.232: [ParNew: 43049K->1185K(76800K), 0.0013317 secs] 43049K->1185K(179200K), 0.0014839 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
5.238: [GC (Allocation Failure) 5.238: [ParNew: 43141K->1071K(76800K), 0.0007067 secs] 43141K->1071K(179200K), 0.0007811 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
6.245: [GC (Allocation Failure) 6.245: [ParNew: 43028K->1152K(76800K), 0.0016087 secs] 43028K->1152K(179200K), 0.0017053 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
6.251: [GC (Allocation Failure) 6.251: [ParNew: 43110K->1168K(76800K), 0.0006763 secs] 43110K->1168K(179200K), 0.0007440 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
7.259: [GC (Allocation Failure) 7.259: [ParNew: 43127K->1145K(76800K), 0.0006511 secs] 43127K->1145K(179200K), 0.0007191 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.265: [GC (Allocation Failure) 7.265: [ParNew: 43104K->1150K(76800K), 0.0006665 secs] 43104K->1150K(179200K), 0.0007715 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.276: [GC (Allocation Failure) 8.276: [ParNew: 43110K->1005K(76800K), 0.0051616 secs] 43110K->1515K(179200K), 0.0053513 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
8.286: [GC (Allocation Failure) 8.286: [ParNew: 42965K->443K(76800K), 0.0005756 secs] 43474K->953K(179200K), 0.0006694 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.295: [GC (Allocation Failure) 9.295: [ParNew: 42403K->481K(76800K), 0.0007152 secs] 42913K->991K(179200K), 0.0008043 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.300: [GC (Allocation Failure) 9.300: [ParNew: 42440K->0K(76800K), 0.0018166 secs] 42950K->849K(179200K), 0.0018931 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
10.309: [GC (Allocation Failure) 10.309: [ParNew: 41959K->0K(76800K), 0.0011310 secs] 42809K->849K(179200K), 0.0012439 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
10.317: [GC (Allocation Failure) 10.317: [ParNew: 41959K->0K(76800K), 0.0004478 secs] 42809K->849K(179200K), 0.0005467 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
11.327: [GC (Allocation Failure) 11.327: [ParNew: 41959K->0K(76800K), 0.0005628 secs] 42809K->849K(179200K), 0.0006473 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.334: [GC (Allocation Failure) 11.334: [ParNew: 41959K->0K(76800K), 0.0005338 secs] 42809K->849K(179200K), 0.0005999 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
12.342: [GC (Allocation Failure) 12.342: [ParNew: 41959K->0K(76800K), 0.0006122 secs] 42809K->849K(179200K), 0.0007090 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.348: [GC (Allocation Failure) 12.348: [ParNew: 41959K->0K(76800K), 0.0004256 secs] 42809K->849K(179200K), 0.0004877 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
